,bill,title,label
163,164,"To allow the psychiatric or psychological examinations required under chapter 313 of title 18, United States Code, relating to offenders with mental disease or defect, to be conducted by a clinical social worker.",fail
164,165,For the relief of Donald C. Pence.,fail
165,166,"To amend section 1086 of title 10, United States Code, to provide for payment under CHAMPUS of certain health care expenses incurred by certain members and former members of the uniformed services and their dependents to the extent that such expenses are not payable under Medicare, and for other purposes.",fail
166,167,"For the relief of Alfredo Tolentino of Honolulu, Hawaii.",fail
167,168,"To reform criminal procedure, and for other purposes.",fail
168,169,To amend the Immigration and Nationality Act with respect to the admission of temporary H-2A workers.,fail
169,170,"To provide for a process to authorize the use of clone pagers, and for other purposes.",fail
170,171,"To amend title 18, United States Code, to insert a general provision for criminal attempt.",fail
171,172,"To amend title 18, United States Code, to set forth the civil jurisdiction of the United States for crimes committed by persons accompanying the Armed Forces outside of the United States, and for other purposes.",fail
172,173,"To expedite State reviews of criminal records of applicants for private security officer employment, and for other purposes.",fail
173,174,"To establish the Fallen Timbers Battlefield, Fort Meigs, and Fort Miamis National Historical Site in the State of Ohio.",fail
174,175,"To amend chapter 81 of title 5, United States Code, to authorize the use of clinical social workers to conduct evaluations to determine work-related emotional and mental illnesses.",fail
175,176,For the relief of Susan Rebola Cardenas.,fail
176,177,To provide for a special application of section 1034 of the Internal Revenue Code of 1986.,fail
177,178,To amend the Social Security Act to clarify that the reasonable efforts requirement includes consideration of the health and safety of the child.,fail
178,179,"To reform the financing of Federal elections, and for other purposes.",fail
179,180,To amend the Internal Revenue Code of 1986 to allow married individuals to contribute to an IRA even if their spouse is a participant in a pension plan.,fail
180,181,To amend the Internal Revenue Code of 1986 to provide that installment sales of certain farmers not be treated as a preference item for purposes of the alternative minimum tax.,fail
181,182,"To make available for obligation such sums as are necessary to pay the Federal share of completion of construction of the Appalachian development highway system, and for other purposes.",fail
182,183,"To amend the Family and Medical Leave Act of 1993 to apply the Act to a greater percentage of the United States workforce, and for other purposes.",fail
183,184,"To provide for adherence with the MacBride Principles of Economic Justice by United States persons doing business in Northern Ireland, and for other purposes.",fail
184,185,To prohibit the provision of Federal funds to any State or local educational agency that denies or prevents participation in constitutional prayer in schools.,fail
185,186,"To amend the Energy Policy and Conservation Act with respect to purchases from the Strategic Petroleum Reserve by entities in the insular areas of the United States, and for other purposes.",fail
186,187,To amend title X of the Public Health Service Act to permit family planning projects to offer adoption services.,fail
187,188,"To amend the Civil Rights Act of 1964 to make preferential treatment an unlawful employment practice, and for other purposes.",fail
188,189,"To prohibit the executive branch of the Federal Government from establishing an additional class of individuals that is protected against discrimination in Federal employment, and for other purposes.",fail
189,190,To protect the lives of unborn human beings.,fail
190,191,To throttle criminal use of guns.,success
191,192,To make it a violation of a right secured by the Constitution and laws of the United States to perform an abortion with the knowledge that the abortion is being performed solely because of the gender of the fetus.,fail
192,193,To provide protections to individuals who are the human subject of research.,fail
193,194,"To amend the Internal Revenue Code of 1986 to make permanent the section 170(e)(5) rules pertaining to gifts of publicly-traded stock to certain private foundations, and for other purposes.",fail
194,195,To abolish the National Endowment for the Arts and the National Council on the Arts.,fail
195,196,"To amend the Public Buildings Act of 1959 to require the Administrator of General Services to prioritize construction and alteration projects in accordance with merit-based needs criteria, and for other purposes.",fail
196,197,"To amend the Internal Revenue Code of 1986 to encourage savings and investment through individual retirement accounts, and for other purposes.",fail
197,198,"To prohibit campaign expenditures for services of lobbyists, and for other purposes.",fail
198,199,"To require industry cost-sharing for the construction of certain new federally funded research facilities, and for other purposes.",fail
199,200,"To amend the Wild and Scenic Rivers Act to designate a portion of the Columbia River as a recreational river, and for other purposes.",fail
200,201,"To provide for the establishment of certain limitations on advertisements relating to, and the sale of, tobacco products, and to provide for the increased enforcement of laws relating to underage tobacco use, and for other purposes.",fail
201,202,To amend title II of the Social Security Act to eliminate the earnings test for individuals who have attained retirement age.,fail
202,203,To amend the Federal Property and Administrative Services Act of 1949 to authorize the transfer to State and local governments of certain surplus property for use for law enforcement or public safety purposes.,fail
203,204,For the relief of Dogan Umut Evans.,fail
204,205,"To eliminate certain benefits for Members of Congress, and for other purposes.",fail
205,206,"To prohibit the application of the Religious Freedom Restoration Act of 1993, or any amendment made by such Act, to an individual who is incarcerated in a Federal, State, or local correctional, detention, or penal facility, and for other purposes.",fail
206,207,"A bill to review, reform, and terminate unnecessary and inequitable Federal subsidies.",fail
207,208,"To provide Federal contracting opportunities for small business concerns located in historically underutilized business zones, and for other purposes.     IN THE SENATE OF THE UNITED STATES",fail
208,209,"To increase the penalty for trafficking in powdered cocaine to the same level as the penalty for trafficking in crack cocaine, and for other purposes.",fail
209,210,"To amend the Organic Act of Guam, the Revised Organic Act of the Virgin Islands, and the Compact of Free Association Act, and for other purposes.",fail
210,211,"To amend title 38, United States Code, to extend the period of time for the manifestation of chronic disabilities due to undiagnosed symptoms in veterans who served in the Persian Gulf War in order for those disabilities to be compensable by the Secretary of Veterans Affairs.",fail
211,212,"To increase the maximum Pell Grant award in order to allow more American students to afford higher education, and to express the sense of the Senate.",fail
212,213,To amend section 223 of the Communications Act of 1934 to repeal amendments on obscene and harassing use of telecommunications facilities made by the Communications Decency Act of 1996 and to restore the provisions of such section on such use in effect before the enactment of the Communications Decency Act of 1996.,fail
213,214,"To amend the Robert T. Stafford Disaster Relief and Emergency Assistance Act to combat fraud and price-gouging committed in connection with the provision of consumer goods and services for the cleanup, repair, and recovery from the effects of a major disaster declared by the President, and for other purposes.",fail
214,215,"To amend the Solid Waste Disposal Act to require a refund value for certain beverage containers, to provide resources for State pollution prevention and recycling programs, and for other purposes.",fail
215,216,"To amend the Individuals with Disabilities Education Act to authorize appropriations for fiscal years 1998 through 2002, and for other purposes.",fail
216,217,"To amend title 38, United States Code, to provide for the payment to States of plot allowances for certain veterans eligible for burial in a national cemetery who are buried in cemeteries of such States.",fail
217,218,"To invest in the future American workforce and to ensure that all Americans have access to higher education by providing tax relief for investment in a college education and by encouraging savings for college costs, and for other purposes.",fail
218,219,To amend the Trade Act of 1974 to establish procedures for identifying countries that deny market access for value-added agricultural products of the United States.,fail
219,220,"To require the United States Trade Representative to determine whether the European Union has failed to implement satisfactorily its obligations under certain trade agreements relating to United States meat and pork exporting facilities, and for other purposes.",fail
220,221,To amend the Social Security Act to require the Commissioner of Social Security to submit specific legislative recommendations to ensure the solvency of the Social Security trust funds.,fail
221,222,"To establish an advisory commission to provide advice and recommendations on the creation of an integrated, coordinated Federal policy designed to prepare for and respond to serious drought emergencies.",fail
222,223,"To prohibit the expenditure of Federal funds on activities by Federal agencies to encourage labor union membership, and for other purposes.",fail
223,224,"To amend title 10, United States Code, to permit covered beneficiaries under the military health care system who are also entitled to medicare to enroll in the Federal Employees Health Benefits program; and for other purposes.",fail
224,225,"To amend chapter 111 of title 28, United States Code, relating to protective orders, sealing of cases, disclosures of discovery information in civil actions, and for other purposes.",fail
225,226,To establish felony violations for the failure to pay legal child support obligations and for other purposes.,fail
226,227,"To establish a locally oriented commission to assist the city of Berlin, New Hampshire, in identifying and studying its region's historical and cultural assets, and for other purposes.",fail
227,228,"To amend title 31, United States Code, to provide for continuing appropriations in the absence of regular appropriations.",fail
228,229,"To provide for a voluntary system of public financing of Federal elections, and for other purposes.     IN THE SENATE OF THE UNITED STATES  January 29, 1997  Mr. Bumpers (for himself, Mrs. Murray, and Mr. Wellstone) introduced the following bill; which was read twice and referred to the Committee",fail
229,230,"To amend section 1951 of title 18, United States Code (commonly known as the Hobbs Act), and for other purposes.",fail
230,231,"To establish the National Cave and Karst Research Institute in the State of New Mexico, and for other purposes.",success
231,232,"To amend the Fair Labor Standards Act of 1938 to prohibit discrimination in the payment of wages on account of sex, race, or national origin, and for other purposes.",fail
232,233,"To amend the Internal Revenue Code of 1986 to increase the deduction for health insurance costs of self-employed individuals, and for other purposes.",fail
233,234,"To direct the Secretary of the Interior to transfer administrative jurisdiction over certain land to the Secretary of the Army to facilitate construction of a jetty and sand transfer system, and for other purposes.",fail
234,235,To amend the Internal Revenue Code of 1986 to encourage economic development through the creation of additional empowerment zones and enterprise communities and to encourage the cleanup of contaminated brownfield sites.,fail
235,236,"To abolish the Department of Energy, and for other purposes.",fail
236,237,"To provide for retail competition among electric energy suppliers for the benefit and protection of consumers, and for other purposes.",fail
237,238,"To amend title XVIII of the Social Security Act to ensure medicare reimbursement for certain ambulance services, and to improve the efficiency of the emergency medical system, and for other purposes.",fail
238,239,To amend the Internal Revenue Code of 1986 relating to the treatment of livestock sold on account of weather-related conditions.,fail
239,240,"To provide for the protection of books and materials of the Library of Congress, and for other purposes.",fail
240,241,"To amend the Internal Revenue Code of 1986 to allow a family-owned business exclusion from the gross estate subject to estate tax, and for other purposes.",fail
241,242,To require a 60-vote supermajority in the Senate to pass any bill increasing taxes.,fail
242,243,"To provide for a short term reinstatement of expired Airport and Airway Trust Fund taxes, and for other purposes.",fail
243,244,To amend the Internal Revenue Code of 1986 to repeal the increase in the tax on social security benefits.,fail
244,245,"To amend title 28, United States Code, to authorize the appointment of additional bankruptcy judges for the judicial district of Maryland.",fail
245,246,To amend title XVIII of the Social Security Act to provide greater flexibility and choice under the medicare program.,fail
246,247,For the relief of Rose-Marie Barbeau-Quinn.,fail
247,248,To establish a Commission on Structural Alternatives for the Federal Courts of Appeals.,fail
248,249,"To require that health plans provide coverage for a minimum hospital stay for mastectomies and lymph node dissection for the treatment of breast cancer, coverage for reconstructive surgery following mastectomies, and coverage for secondary consultations.",fail
249,250,"To designate the United States courthouse located in Paducah, Kentucky, as the ``Edward Huggins Johnstone United States Courthouse''.",fail
250,251,To amend the Internal Revenue Code of 1986 to allow farmers to income average over 2 years.,fail
251,252,"To amend the Internal Revenue Code of 1986 to provide a reduction in the capital gains tax for assets held more than 2 years, to impose a surcharge on short-term capital gains, and for other purposes.",fail
252,253,To establish the negotiating objectives and fast track procedures for future trade agreements.,fail
253,254,"To amend part V of title 28, United States Code, to require that the Department of Justice and State attorneys general are provided notice of a class action certification or settlement, and for other purposes.",fail
254,255,"To amend the Communications Act of 1934 to provide for the reallocation and auction of a portion of the electromagnetic spectrum to enhance law enforcement and public safety telecommunications, and for other purposes.",fail
255,256,"To amend the Commodity Exchange Act to require the Commodity Futures Trading Commission to regulate certain cash markets, such as the National Cheese Exchange, until the Commission determines that the markets do not establish reference points for other transactions, and for other purposes.",fail
